temperature,bend,result
32.9,1980,0
33,1999,0
33,1978,0
32.8,1971,0
32.9,1970,0
33.1,1975,0
33.2,2007,0
32.5,1500,0
33,1912,0
33.7,1926,0
33.8,1928,0
34,1926,0
33.9,1953,0
33.9,1949,0
33.9,1939,0
33.9,1948,0
33.8,1954,0
34,1954,0
33.9,1954,0
34,1948,0
34.1,1943,0
34.2,1943,0
34.1,1505,0
33.8,1931,0
34,1933,0
34.1,1934,0
34.3,1935,0
34.5,1937,0
34.5,1936,0
34.5,1935,0
34.6,1893,0
34.6,1600,0
34.3,1476,0
33.9,1506,0
33.7,1528,0
33.4,1541,0
33.2,1539,0
33.1,1546,0
33.1,1550,0
33.2,1560,0
33.4,1564,0
33.2,1562,0
32.9,1562,0
32.8,1564,0
32.9,1565,0
32.9,1567,0
32.9,1570,0
32.9,1571,0
32.8,1573,0
32.8,1565,0
32.7,1574,0
32.5,1571,0
32.3,1582,0
32.2,1577,0
32,1577,0
31.9,1577,0
31.8,1577,0
31.7,1577,0
31.7,1579,0
31.6,1583,0
31.6,1588,0
31.5,1587,0
31.5,1587,0
31.5,1585,0
31.5,1588,0
31.5,1589,0
31.6,1591,0
31.6,1598,0
31.6,1586,0
31.6,1587,0
31.6,1590,0
31.6,1591,0
31.6,1592,0
31.6,1594,0
31.6,1584,0
31.6,1588,0
31.5,1589,0
31.5,1594,0
31.5,1590,0
31.5,1596,0
31.5,1621,0
31.5,1606,0
31.4,1604,0
31.4,1584,0
31.4,1598,0
31.4,1603,0
31.3,1602,0
31.3,1602,0
31.3,1603,0
31.3,1603,0
31.2,1605,0
31.2,1604,0
31.1,1603,0
31.1,1606,0
31.1,1606,0
31.1,1606,0
31,1607,0
31,1607,0
31,1607,0
30.9,1608,0
30.9,1608,0
30.9,1608,0
30.9,1608,0
30.8,1608,0
30.8,1608,0
30.8,1609,0
30.8,1609,0
30.7,1609,0
30.7,1609,0
30.7,1610,0
30.6,1610,0
30.6,1610,0
30.6,1610,0
30.6,1610,0
30.6,1611,0
30.5,1611,0
30.5,1611,0
30.5,1611,0
30.5,1612,0
30.4,1611,0
30.4,1612,0
30.4,1612,0
30.4,1613,0
30.4,1613,0
30.3,1613,0
30.3,1614,0
30.3,1614,0
30.3,1614,0
30.3,1614,0
30.2,1614,0
30.2,1615,0
30.2,1615,0
30.2,1615,0
30.2,1615,0
30.2,1615,0
30.1,1615,0
30.1,1615,0
30.1,1615,0
30.1,1615,0
30.1,1614,0
30,1612,0
30,1612,0
30,1612,0
30,1612,0
30,1612,0
30,1612,0
29.9,1612,0
29.9,1612,0
29.9,1613,0
29.9,1613,0
29.9,1613,0
29.9,1613,0
29.8,1613,0
29.8,1613,0
29.8,1613,0
29.8,1613,0
29.8,1614,0
29.8,1614,0
29.8,1614,0
29.7,1614,0
29.7,1614,0
29.7,1614,0
29.7,1614,0
29.7,1614,0
29.7,1614,0
29.7,1615,0
29.6,1614,0
29.6,1615,0
29.6,1615,0
29.6,1614,0
29.6,1615,0
29.6,1615,0
29.6,1615,0
29.6,1615,0
29.5,1615,0
29.5,1615,0
29.5,1615,0
29.5,1615,0
29.5,1615,0
29.5,1615,0
29.5,1616,0
29.5,1616,0
29.4,1616,0
29.4,1616,0
29.4,1616,0
29.4,1616,0
29.4,1616,0
29.4,1616,0
29.4,1616,0
29.4,1616,0
29.4,1616,0
29.3,1616,0
29.3,1617,0
29.3,1616,0
29.3,1616,0
29.3,1616,0
29.3,1617,0
29.3,1617,0
29.3,1616,0
29.3,1617,0
29.2,1617,0
29.2,1617,0
29.2,1617,0
29.2,1617,0
29.2,1617,0
29.2,1617,0
29.2,1617,0
29.2,1618,0
29.2,1617,0
29.2,1618,0
29.1,1618,0
29.1,1618,0
29.1,1618,0
29.1,1618,0
29.1,1618,0
29.1,1619,0
29.1,1618,0
29.1,1619,0
29.1,1619,0
29.1,1618,0
29.1,1619,0
29.1,1619,0
29,1619,0
29,1619,0
29,1619,0
29,1620,0
29,1619,0
29,1620,0
29,1620,0
29,1620,0
29,1620,0
29,1620,0
29,1620,0
29,1620,0
29,1621,0
28.9,1621,0
28.9,1621,0
28.9,1621,0
28.9,1621,0
28.9,1621,0
28.9,1622,0
28.9,1622,0
28.9,1622,0
28.9,1622,0
28.9,1622,0
28.9,1622,0
28.9,1622,0
28.9,1622,0
28.9,1622,0
28.9,1623,0
28.9,1622,0
28.9,1623,0
28.9,1623,0
28.8,1623,0
28.8,1623,0
28.8,1623,0
28.8,1623,0
28.8,1623,0
28.8,1623,0
28.8,1624,0
28.8,1623,0
28.8,1624,0
28.8,1624,0
28.8,1624,0
28.8,1624,0
28.8,1624,0
28.8,1624,0
28.8,1624,0
28.8,1625,0
28.8,1624,0
28.8,1624,0
28.8,1625,0
28.8,1624,0
28.8,1625,0
28.8,1625,0
28.8,1625,0
28.8,1625,0
28.7,1625,0
